,title,user_id,item_id,rating,timestamp,Rating Count
529,Strange Days (1995),295,39,4,879518279,87
530,"Streetcar Named Desire, A (1951)",85,507,4,879456199,98
531,Strictly Ballroom (1992),271,709,3,885849325,104
532,Striptease (1996),43,120,4,884029430,67
533,Sunset Blvd. (1950),10,488,5,877888613,65
534,Supercop (1992),22,128,5,878887983,65
535,Swingers (1996),117,150,4,880125101,157
536,"Sword in the Stone, The (1963)",95,625,4,888954412,82
537,Tales from the Crypt Presents: Bordello of Blood (1996),256,413,4,882163956,55
538,Taxi Driver (1976),135,23,4,879857765,182
539,Terminator 2: Judgment Day (1991),42,96,5,881107178,295
540,"Terminator, The (1984)",44,195,5,878347874,301
541,That Thing You Do! (1996),269,845,1,891456255,176
542,"Thin Man, The (1934)",308,493,3,887737293,60
543,Things to Do in Denver when You're Dead (1995),280,544,4,891701302,71
544,"Third Man, The (1949)",239,513,5,889178887,72
545,This Is Spinal Tap (1984),28,209,4,881961214,191
546,Three Colors: Blue (1993),60,60,5,883327734,64
547,Three Colors: Red (1994),308,59,4,887737647,83
548,Three Colors: White (1994),1,61,4,878542420,59
549,"Three Musketeers, The (1993)",279,399,4,875313859,89
550,"Time to Kill, A (1996)",85,282,3,879829618,232
551,Tin Cup (1996),75,284,2,884050393,193
552,Tin Men (1987),62,712,4,879376178,51
553,Titanic (1997),240,313,5,885775604,350
554,To Catch a Thief (1955),151,490,5,879528418,50
555,To Die For (1995),59,715,5,888205921,87
556,To Kill a Mockingbird (1962),60,427,5,883326620,219
557,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",210,40,3,891035994,57
558,Tombstone (1993),94,470,4,891722006,108
559,Tommy Boy (1995),301,790,4,882078621,66
560,Tomorrow Never Dies (1997),133,751,3,890588547,180
561,Top Gun (1986),290,161,4,880474293,220
562,Toy Story (1995),308,1,4,887736532,452
563,Trainspotting (1996),221,475,4,875244204,250
564,"Treasure of the Sierra Madre, The (1948)",96,519,4,884402896,80
565,Trees Lounge (1996),130,1017,3,874953895,50
566,True Lies (1994),194,385,2,879524643,208
567,True Romance (1993),59,92,5,888204997,104
568,"Truth About Cats & Dogs, The (1996)",11,111,4,891903862,272
569,Twelve Monkeys (1995),250,7,4,878089716,392
570,Twister (1996),291,118,2,874833878,293
571,U Turn (1997),214,334,3,891542540,64
572,Ulee's Gold (1997),302,303,2,879436785,184
573,"Unbearable Lightness of Being, The (1988)",215,212,2,891435680,92
574,Under Siege (1992),95,233,4,879196354,124
575,Unforgiven (1992),43,203,4,883955224,182
576,Up Close and Personal (1996),52,280,3,882922806,85
577,"Usual Suspects, The (1995)",272,12,5,879455254,267
578,Vegas Vacation (1997),279,871,4,875297410,75
579,Vertigo (1958),7,479,4,891352010,179
580,"Very Brady Sequel, A (1996)",184,412,2,889912691,93
581,Victor/Victoria (1982),293,629,3,888907753,77
582,Volcano (1997),61,678,3,892302309,219
583,Wag the Dog (1997),90,347,4,891383319,137
584,"Walk in the Clouds, A (1995)",262,553,4,879795122,63
585,Wallace & Gromit: The Best of Aardman Animation (1996),185,114,4,883524320,67
586,Waterworld (1995),87,554,4,879875940,102
587,"Wedding Singer, The (1998)",100,354,2,891375260,72
588,Weekend at Bernie's (1989),286,158,3,877533472,60
589,Welcome to the Dollhouse (1995),203,93,4,880434940,112
590,What's Eating Gilbert Grape (1993),62,65,4,879374686,115
591,When Harry Met Sally... (1989),130,216,4,875216545,290
592,While You Were Sleeping (1995),194,66,3,879527264,162
593,White Squall (1996),314,924,5,877886921,85
594,William Shakespeare's Romeo and Juliet (1996),215,421,4,891435704,106
595,Willy Wonka and the Chocolate Factory (1971),168,151,5,884288058,326
596,Wings of Desire (1987),189,512,4,893277702,57
597,"Wings of the Dove, The (1997)",278,311,4,891295130,75
598,Winnie the Pooh and the Blustery Day (1968),223,969,5,891550649,75
599,"Wizard of Oz, The (1939)",271,132,5,885848672,246
600,Wolf (1994),130,569,3,880396494,67
601,"Wrong Trousers, The (1993)",142,169,5,888640356,118
602,Wyatt Earp (1994),13,570,5,882397581,50
603,Young Frankenstein (1974),286,208,4,877531942,200
604,Young Guns (1988),167,232,1,892738341,101
